popularity,vote_count,video,poster_path,id,adult,backdrop_path,original_language,original_title,genre_ids,title,vote_average,overview,release_date
130.047,4032,FALSE,/2bXbqYdUdNVa8VIWXVfclP2ICtT.jpg,420818,FALSE,/nRXO2SnOA75OsWhNhXstHB8ZmI3.jpg,en,The Lion King,NULL,The Lion King,7.1,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",7/12/19
88.244,10081,FALSE,/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,383498,FALSE,/3P52oz9HPQWxcwHOwxtyrVV1LKi.jpg,en,Deadpool 2,NULL,Deadpool 2,7.5,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,5/10/18
69.253,110,FALSE,/kZHnblqmTBUBgzYBIxWIz9txsEi.jpg,514921,FALSE,/yBxq43FaskaXDGKWNJQmM75WoGS.jpg,en,The Aeronauts,NULL,The Aeronauts,6.6,"In 1862, daredevil balloon pilot Amelia Wren teams up with pioneering meteorologist James Glaisher  to advance human knowledge of the weather and fly higher than anyone in history. While breaking records and advancing scientific discovery, their voyage to the very edge of existence helps the unlikely pair find their place in the world they have left far below them. But they face physical and emotional challenges in the thin air, as the ascent becomes a fight for survival.",11/4/19
97.948,4595,FALSE,/3IGbjc5ZC5yxim5W0sFING2kdcz.jpg,348350,FALSE,/q1zsnEwcApz9AdMgV4nB0jrg1qg.jpg,en,Solo: A Star Wars Story,NULL,Solo: A Star Wars Story,6.6,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",5/15/18
71.42,1086,FALSE,/tBuabjEqxzoUBHfbyNbd8ulgy5j.jpg,420809,FALSE,/skvI4rYFrKXS73BJxWGH54Omlvv.jpg,en,Maleficent: Mistress of Evil,NULL,Maleficent: Mistress of Evil,7.2,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",10/16/19
70.573,24022,FALSE,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,27205,FALSE,/s2bT29y0ngXxxu2IA8AOzzXTRhd.jpg,en,Inception,NULL,Inception,8.3,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",7/15/10
129.836,13498,FALSE,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg,140607,FALSE,/c2Ax8Rox5g6CneChwy1gmu4UbSb.jpg,en,Star Wars: The Force Awakens,NULL,Star Wars: The Force Awakens,7.4,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",12/15/15
69.611,21165,FALSE,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg,24428,FALSE,/hbn46fQaRmlpBuUrEiFqv0GDL6Y.jpg,en,The Avengers,NULL,The Avengers,7.7,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",4/25/12
67.881,82,FALSE,/7gOozJufKJ9WjcIs38KEs08Iq3D.jpg,473033,FALSE,/eGljNfNCrPhFYG2RXXmmE0OKu5.jpg,en,Uncut Gems,NULL,Uncut Gems,7.6,"Howard Ratner, a charismatic New York City jeweler always on the lookout for the next big score, makes a series of high-stakes bets that could lead to the windfall of a lifetime.",12/13/19
77.664,804,FALSE,/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg,540901,FALSE,/mSQjVoZJaZkaHpdLIahh04bfGDr.jpg,en,Hustlers,NULL,Hustlers,6.2,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,9/12/19
